Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2015-11-03,53.6,53.6,53.6,53.6,0.4,,,6786.0,,,35.0
2015-11-02,53.2,53.2,53.2,53.2,-0.05,,,6786.0,,,35.0
2015-10-30,52.45,52.45,52.45,52.45,-0.05,,,7050.0,,,
2015-10-29,52.5,52.5,52.5,52.5,-0.05,,,7050.0,,,
2015-10-28,52.55,52.55,52.55,52.55,-0.1,,,7050.0,,,
2015-10-27,52.65,52.65,52.65,52.65,0.2,,,7050.0,,,
2015-10-26,52.45,52.45,52.45,52.45,0.3,,,7050.0,,,
2015-10-23,52.15,52.15,52.15,52.15,0.2,,,7045.0,,,5.0
2015-10-22,51.95,51.95,51.95,51.95,0.05,,,7045.0,,,
2015-10-21,51.9,51.9,51.9,51.9,0.0,,,7045.0,,,
2015-10-20,51.9,51.9,51.9,51.9,0.05,,,7045.0,,,
2015-10-19,51.85,51.85,51.85,51.85,0.0,,,7045.0,,,
2015-10-16,51.85,51.85,51.85,51.85,0.1,,,7045.0,,,
2015-10-15,51.75,51.75,51.75,51.75,0.1,,,7020.0,,,25.0
2015-10-14,51.65,51.65,51.65,51.65,-0.25,,,6870.0,,,205.0
2015-10-13,51.9,51.9,51.9,51.9,-0.15,,,6870.0,,,
2015-10-12,52.05,52.05,52.05,52.05,-0.35,,,6865.0,,,
2015-10-09,52.4,52.4,52.4,52.4,0.25,,,6865.0,,,5.0
2015-10-08,52.15,52.15,52.15,52.15,-0.1,,,6860.0,,,
2015-10-07,52.25,52.25,52.25,52.25,-0.4,,,6600.0,,,10.0
2015-10-06,52.65,52.65,52.65,52.65,0.65,,,6460.0,,,58.0
2015-10-05,52.0,52.0,52.0,52.0,0.9,,,6315.0,,,80.0
2015-10-02,51.1,51.1,51.1,51.1,0.1,,,5915.0,,,20.0
2015-10-01,51.0,51.0,51.0,51.0,-0.4,,,5649.0,,,20.0
2015-09-30,51.6,51.6,51.4,51.4,-0.7,51.6,1.0,5644.0,,,39.0
2015-09-29,52.1,52.1,52.1,52.1,0.05,,,5629.0,,,49.0
2015-09-28,52.05,52.05,52.05,52.05,-0.6,,,5592.0,,,70.0
2015-09-25,53.85,53.85,53.85,53.85,0.0,,,6837.0,,,
2015-09-24,53.85,53.85,53.85,53.85,-0.05,,,6837.0,,,
2015-09-23,53.9,53.9,53.9,53.9,0.0,,,6837.0,,,
2015-09-22,53.9,53.9,53.9,53.9,-0.1,,,6837.0,,,
2015-09-21,54.0,54.0,54.0,54.0,-0.1,,,6837.0,,,
2015-09-18,54.1,54.1,54.1,54.1,-0.05,,,6837.0,,,15.0
2015-09-17,54.15,54.15,54.15,54.15,0.0,,,6837.0,,,
2015-09-16,54.15,54.15,54.15,54.15,0.6,,,6837.0,,,10.0
2015-09-15,53.55,53.55,53.55,53.55,-0.1,,,6837.0,,,5.0
2015-09-14,53.65,53.65,53.65,53.65,-0.2,,,6837.0,,,15.0
2015-09-11,53.85,53.85,53.85,53.85,0.05,,,6841.0,,,15.0
2015-09-10,53.8,53.8,53.8,53.8,0.2,,,6841.0,,,
2015-09-09,53.6,53.6,53.6,53.6,-0.3,,,6841.0,,,
2015-09-08,53.9,53.9,53.9,53.9,0.25,,,6832.0,,,20.0
2015-09-07,53.65,53.65,53.65,53.65,-0.9,,,6837.0,,,75.0
2015-09-04,54.55,54.55,54.55,54.55,-0.6,,,6837.0,,,
2015-09-03,55.15,55.15,55.15,55.15,0.3,,,6832.0,,,5.0
2015-09-02,54.85,54.85,54.85,54.85,-0.1,,,6832.0,,,
2015-09-01,55.25,55.25,54.95,54.95,0.0,55.25,1.0,6822.0,,,105.0
2015-08-31,54.95,54.95,54.95,54.95,0.0,,,6822.0,,,
2015-08-28,55.8,55.8,55.8,55.8,0.0,,,6733.0,,,
2015-08-27,55.8,55.8,55.8,55.8,0.0,,,6733.0,,,
2015-08-26,55.8,55.8,55.8,55.8,0.0,,,6733.0,,,
2015-08-25,55.8,55.8,55.8,55.8,0.0,,,6733.0,,,
2015-08-24,55.8,55.8,55.8,55.8,-0.1,,,6733.0,,,
2015-08-21,55.9,55.9,55.9,55.9,-0.05,,,6733.0,,,
2015-08-20,55.95,55.95,55.95,55.95,0.0,,,6728.0,,,65.0
2015-08-19,55.95,55.95,55.95,55.95,-0.1,,,6723.0,,,15.0
2015-08-18,56.05,56.05,56.05,56.05,-0.25,,,6718.0,,,40.0
2015-08-17,56.3,56.3,56.3,56.3,0.0,,,6713.0,,,30.0
2015-08-14,56.3,56.3,56.3,56.3,-0.25,,,6713.0,,,15.0
2015-08-13,56.55,56.55,56.55,56.55,0.15,,,6711.0,,,10.0
2015-08-12,56.4,56.4,56.4,56.4,0.0,,,6706.0,,,8.0
2015-08-11,56.4,56.4,56.4,56.4,-1.0,,,6716.0,,,25.0
2015-08-10,57.4,57.4,57.4,57.4,0.25,,,6716.0,,,
