Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2011-06-30,121.3,121.3,121.3,121.3,-0.6,,,1195.0,,,
2011-06-29,121.9,121.9,121.9,121.9,0.35,,,1155.0,,30.0,
2011-06-28,121.55,121.55,121.55,121.55,0.2,,,1060.0,,85.0,
2011-06-24,120.4,120.4,120.4,120.4,0.0,,,1775.0,,,
2011-06-23,120.4,120.4,120.4,120.4,-0.05,,,1775.0,,,
2011-06-22,120.45,120.45,120.45,120.45,-0.1,,,1775.0,,,
2011-06-21,120.55,120.55,120.55,120.55,0.05,,,1775.0,,,
2011-06-20,120.5,120.5,120.5,120.5,1.0,,,1775.0,,,
2011-06-17,119.5,119.5,119.5,119.5,-0.1,,,1775.0,,,
2011-06-16,119.6,119.6,119.6,119.6,-1.55,,,1775.0,,,
2011-06-15,121.15,121.15,121.15,121.15,-0.6,,,1775.0,,,
2011-06-14,121.75,121.75,121.75,121.75,0.25,,,1775.0,,,
2011-06-13,121.5,121.5,121.5,121.5,0.05,,,1775.0,,,
2011-06-10,121.45,121.45,121.45,121.45,-0.1,,,1775.0,,,
2011-06-09,121.55,121.55,121.55,121.55,0.25,,,1775.0,,,
2011-06-08,121.3,121.3,121.3,121.3,-1.05,,,1775.0,,,
2011-06-07,122.35,122.35,122.35,122.35,0.9,,,1770.0,,5.0,
2011-06-06,121.45,121.45,121.45,121.45,0.1,,,1770.0,,,
2011-06-03,121.35,121.35,121.35,121.35,0.5,,,1770.0,,,
2011-06-02,120.85,120.85,120.85,120.85,0.0,,,1770.0,,,
2011-06-01,120.85,120.85,120.85,120.85,-0.1,,,1770.0,,,
2011-05-31,120.95,120.95,120.95,120.95,0.1,,,1770.0,,,
2011-05-30,120.35,120.35,120.35,120.35,0.0,,,1550.0,,,
2011-05-27,120.35,120.35,120.35,120.35,1.0,,,1560.0,,,
2011-05-26,119.35,119.35,119.35,119.35,-0.05,,,1555.0,,5.0,
2011-05-25,119.4,119.4,119.4,119.4,-0.15,,,1555.0,,,
2011-05-24,119.55,119.55,119.55,119.55,-0.2,,,1565.0,,,
2011-05-23,119.75,119.75,119.75,119.75,0.2,,,1565.0,,5.0,
2011-05-20,119.55,119.55,119.55,119.55,-0.25,,,1565.0,,5.0,
2011-05-19,119.8,119.8,119.8,119.8,0.05,,,1565.0,,,
2011-05-18,119.75,119.75,119.75,119.75,0.9,,,1565.0,,,
2011-05-17,118.85,118.85,118.85,118.85,-0.9,,,1565.0,,,
